Keyword,Name,Full_Address,Street_Address,City,Zip,Municipality,State,Country,Timezone,Description,Phone_1,Phone_Standard_format,Email_From_WEBSITE,Website,Domain,Claimed_google_my_business,Reviews_count,Average_rating,Business_Status,Hours,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Latitude,Longitude,Coordinates,Plus_Code,Place_ID,GMB_URL,CID,Google_Knowledge_URL,Kgmid,Image_URL,Favicon,Review_URL,Facebook_URL,Linkedin_URL,Twitter_URL,Youtube_URL,Meta_Description,Uuid,Accessibility,Service_options,Offerings,Instagram_URL,Payments,From_the_business,Planning,Crowd,Amenities,Recycling
HVAC,Parker & Sons,3636 E Anne St A  Phoenix  AZ 85040  United States,3636 E Anne St A,Phoenix,85040,United States,Arizona,US,America/Phoenix, ,+16024249619,(602) 424-9619,,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,parkerandsons.com,Yes,28382,4.7,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.4139155,Lng -112.0022947,"33.4139155,-112.0022947",8559CX7X+H38,ChIJh9Zo0KoPK4cRzTwhKAxIE8s,https://www.google.com/maps/place/?q=place_id:ChIJh9Zo0KoPK4cRzTwhKAxIE8s,14633118831306947789,https://www.google.com/search?kgmid=/g/1td4_9w8,/g/1td4_9w8,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDx4YfuhgE,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google&size=48","https://search.google.com/local/reviews?placeid=ChIJh9Zo0KoPK4cRzTwhKAxIE8s&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/ArizonaHVAC, ,https://twitter.com/ParkerandSons,https://www.youtube.com/channel/UCKeUY3j38Tv9mdMIVP3oMdw/videos,"Parker & Sons provides air conditioning, heating, plumbing and electrical services to the Phoenix, AZ area. In business since 1974, Parker & Sons is recognized nationally for being one of the most knowledgeable heating, cooling, plumbing, and electrical contractors in the industry.",0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIYSgI,Wheelchair accessible entrance,Heat pump installation recognized by the US Dept. of Energy | Onsite services,Repair services,,,,,,,
HVAC,Desert Diamond Air Cooling & Heating,16602 N 25th Ave  Phoenix  AZ 85023  United States,16602 N 25th Ave,Phoenix,85023,United States,Arizona,US,America/Phoenix, ,+16232462377,(623) 246-2377,,https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website,desertdiamondhvac.com,Yes,2231,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.636528399999996,Lng -112.11175469999999,"33.636528399999996,-112.11175469999999",8559JVPQ+J79,ChIJq6qqqppxK4cRsF80JJDpm0w,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqppxK4cRsF80JJDpm0w,5520262573564649392,https://www.google.com/search?kgmid=/g/1260dl0j4,/g/1260dl0j4,https://lh5.googleusercontent.com/p/AF1QipOLQTQVCKMWrNgfWIbLPwV7TpEpXtyuHO7vK5eP,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website&size=48","https://search.google.com/local/reviews?placeid=ChIJq6qqqppxK4cRsF80JJDpm0w&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/Desert.Diamond.Mechanical/, ,https://twitter.com/DesertDiamond3,https://www.youtube.com/c/TheHVACDopeShow,Going even a day or two without air conditioning (AC) can be unbearable when the temperature soars in .,0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIjQEoCQ,,Online estimates | Onsite services,Repair services,https://www.instagram.com/desertdiamondhvacaz/,,,,,,
HVAC,Goettl Air Conditioning and Plumbing - Phoenix AZ,4611 E Baseline Rd  Phoenix  AZ 85042  United States,4611 E Baseline Rd,Phoenix,85042,United States,Arizona,US,America/Phoenix, ,+16025170039,(602) 517-0039,,https://www.goettl.com/location/phoenix-arizona/?utm_source=google&utm_medium=organic&utm_campaign=gmb,goettl.com,Yes,12510,4.7,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.3775441,Lng -111.9836418,"33.3775441,-111.9836418",855C92H8+2G9,ChIJm2mOVdoOK4cRX23E2bR0XG8,https://www.google.com/maps/place/?q=place_id:ChIJm2mOVdoOK4cRX23E2bR0XG8,8024416956163845471,https://www.google.com/search?kgmid=/g/1tdcxk7x,/g/1tdcxk7x,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDc2qHMXw,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.goettl.com/location/phoenix-arizona/?utm_source=google&utm_medium=organic&utm_campaign=gmb&size=48","https://search.google.com/local/reviews?placeid=ChIJm2mOVdoOK4cRX23E2bR0XG8&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/Goettl,https://www.linkedin.com/authwall?trk=ripf&trkInfo=AQFOCz0jfHLuRQAAAXhLuTgIgPUkNL7ZD9RK6fXSoaWwl4MJNZMe7iNzpZPGcvs-NInpEMcIzEbk661txngOOkQNRbsbriwOZPsEW81dtvTqAsiDRpfbtmA0BnGnnhM2XAvVO6w=&originalReferer=https://www.goettl.com/&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fgoettl%2F, ,https://www.youtube.com/channel/UCBGzJ2yOVe0rENM4SpVj_Qw,Stay comfortable year-round with our expert HVAC and plumbing services in the Phoenix area. Trusted for over 80 years.,0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIuQEoCg,Wheelchair accessible entrance | Wheelchair accessible parking lot,Heat pump installation recognized by the US Dept. of Energy | Onsite services,Repair services,https://www.instagram.com/goettlacplumbing/,Credit cards,Identifies as veteran-owned,Appointment required,,,
HVAC,Day & Night Air Conditioning  Heating  & Plumbing,3669 E La Salle St  Phoenix  AZ 85040  United States,3669 E La Salle St,Phoenix,85040,United States,Arizona,US,America/Phoenix, ,+16025847758,(602) 584-7758,,https://www.dayandnightair.com/?utm_source=GMB&utm_medium=local&utm_campaign=phoenix-az,dayandnightair.com,Yes,7877,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.3966358,Lng -112.0011526,"33.3966358,-112.0011526",85599XWX+MG5,ChIJmaAujXcNK4cRhAXQO7SXvGw,https://www.google.com/maps/place/?q=place_id:ChIJmaAujXcNK4cRhAXQO7SXvGw,7835304252071216516,https://www.google.com/search?kgmid=/g/1th1d5fw,/g/1th1d5fw,https://lh5.googleusercontent.com/p/AF1QipPz56CNopPXtdATuE8N1Hff9emsBRtlvhQy8PsY,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.dayandnightair.com/?utm_source=GMB&utm_medium=local&utm_campaign=phoenix-az&size=48","https://search.google.com/local/reviews?placeid=ChIJmaAujXcNK4cRhAXQO7SXvGw&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/DayandNightairconditioningheatingplumbing,https://www.linkedin.com/company/day-&-night-air-conditioning-heating-&-plumbing/, ,http://www.youtube.com/user/DayandNightHVAC?feature=mhee,"Our team has been providing trustworthy plumbing, HVAC, and air conditioning repair services in Phoenix, Arizona for over 40 years. Call today.",0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcI5gEoCw,Wheelchair accessible entrance,Onsite services | Language assistance,Repair services,https://www.instagram.com/dayandnightair/,,Small business,,,,
HVAC,Hobaica Plumbing HVAC & Electrical Services,10636 N Cave Creek Rd  Phoenix  AZ 85020  United States,10636 N Cave Creek Rd,Phoenix,85020,United States,Arizona,US,America/Phoenix, ,+16026339555,(602) 633-9555,,https://www.hobaica.com/?utm_source=gbp&utm_medium=organic&utm_campaign=Google%20My%20Business,hobaica.com,Yes,6419,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.5837317,Lng -112.05122619999999,"33.5837317,-112.05122619999999",8559HWMX+FGR,ChIJO9Tx-MBsK4cRMmr3ov2eVsU,https://www.google.com/maps/place/?q=place_id:ChIJO9Tx-MBsK4cRMmr3ov2eVsU,14219727685666957874,https://www.google.com/search?kgmid=/g/1tdr3skc,/g/1tdr3skc,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID32Kmz4AE,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.hobaica.com/?utm_source=gbp&utm_medium=organic&utm_campaign=Google%20My%20Business&size=48","https://search.google.com/local/reviews?placeid=ChIJO9Tx-MBsK4cRMmr3ov2eVsU&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en", , , , , ,0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIkQIoDA,,Online estimates | Onsite services,Repair services, ,,,,,,
HVAC,North Valley Mechanical HVAC & Plumbing,2110 W Greenway Rd  Phoenix  AZ 85023  United States,2110 W Greenway Rd,Phoenix,85023,United States,Arizona,US,America/Phoenix, ,+16029754247,(602) 975-4247,,https://northvalleymechanical.com/,northvalleymechanical.com,Yes,1359,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.6257942,Lng -112.10446639999999,"33.6257942,-112.10446639999999",8559JVGW+867,ChIJdz-W0ax7K4cRH6iUH03G93M,https://www.google.com/maps/place/?q=place_id:ChIJdz-W0ax7K4cRH6iUH03G93M,8356365668153862175,https://www.google.com/search?kgmid=/g/1tdj4p91,/g/1tdj4p91,https://lh5.googleusercontent.com/p/AF1QipOaUqRKq85uspFDEcCKmp1eS4GeGBmbsOWtd4zH,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://northvalleymechanical.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJdz-W0ax7K4cRH6iUH03G93M&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://facebook.com/acnorthvalley, , ,,"Get expert HVAC repair, installation & maintenance from North Valley Mechanical. Schedule your 20-point inspection today!",0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIvQIoDQ,,Onsite services,Repair services,,,Identifies as veteran-owned | Identifies as women-owned,,,,
HVAC,Benefit Air Conditioning,1315 W Indian School Rd  Phoenix  AZ 85013  United States,1315 W Indian School Rd,Phoenix,85013,United States,Arizona,US,America/Phoenix, ,+16028409229,(602) 840-9229,info@benefitair.com,http://www.benefitair.com/,benefitair.com,Yes,640,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.494684,Lng -112.08986499999999,"33.494684,-112.08986499999999",8559FWV6+V3C,ChIJT6Jz6j4MK4cRnKm9sj6lxtI,https://www.google.com/maps/place/?q=place_id:ChIJT6Jz6j4MK4cRnKm9sj6lxtI,15188008482058906012,https://www.google.com/search?kgmid=/g/1hc3jvz4d,/g/1hc3jvz4d,https://lh5.googleusercontent.com/p/AF1QipN4rrJAbFd0LvdJUrHtf6XHNXNIhJy6ak-EFinM,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.benefitair.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJT6Jz6j4MK4cRnKm9sj6lxtI&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/benefitairconditioning/, , ,,,0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcI7QIoDg,,Online estimates | Onsite services,Repair services,,,Identifies as women-owned,,,,
HVAC,Scottsdale Air Heating & Cooling,4747 E Thomas Rd STE F  Phoenix  AZ 85018  United States,4747 E Thomas Rd STE F,Phoenix,85018,United States,Arizona,US,America/Phoenix, ,+16028342160,(602) 834-2160,,https://scottsdaleair.com/?utm_source=google&utm_medium=gmb&utm_campaign=SDA_ORG_EVER_A_GBP_PHOENIX&se_campaign=&se_action=eyJ0eXBlIjoic2Utc2hvdy1tb2RhbCJ9,scottsdaleair.com,Yes,220,4.9,open,"Wednesday, 7:30 AM-8 PM; Thursday, 7:30 AM-8 PM; Friday, 7:30 AM-8 PM; Saturday, 7:30 AM-8 PM; Sunday, 7:30 AM-8 PM; Monday, 7:30 AM-8 PM; Tuesday, 7:30 AM-8 PM; ",7:30 AM-8 PM,7:30 AM-8 PM,7:30 AM-8 PM,7:30 AM-8 PM,7:30 AM-8 PM,7:30 AM-8 PM,7:30 AM-8 PM,Lat 33.4798141,Lng -111.978757,"33.4798141,-111.978757",855CF2HC+WFH,ChIJlzlFE_cMK4cR0RUC2ynarq4,https://www.google.com/maps/place/?q=place_id:ChIJlzlFE_cMK4cR0RUC2ynarq4,12587237881849976273,https://www.google.com/search?kgmid=/g/11c1q8n4mj,/g/11c1q8n4mj,https://lh5.googleusercontent.com/p/AF1QipPBOgplz9TuHUtwvDO1mFo-8quEWKSZQpYa6UWk,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://scottsdaleair.com/?utm_source=google&utm_medium=gmb&utm_campaign=SDA_ORG_EVER_A_GBP_PHOENIX&se_campaign=&se_action=eyJ0eXBlIjoic2Utc2hvdy1tb2RhbCJ9&size=48","https://search.google.com/local/reviews?placeid=ChIJlzlFE_cMK4cR0RUC2ynarq4&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/scottsdaleair/,https://www.linkedin.com/company/scottsdale-air-heating-&-cooling/,https://twitter.com/scottsdaleair,,"If you're in need of HVAC, services Scottsdale, look no further than Scottsdale Air. Our expert contractors are here to help keep your home comfortable all year round.",0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcImQMoDw,Wheelchair accessible entrance,Online estimates | Onsite services,Repair services,,,,,,,
HVAC,George Brazil Air Conditioning & Heating,2655 E Magnolia St #200  Phoenix  AZ 85034  United States,2655 E Magnolia St #200,Phoenix,85034,United States,Arizona,US,America/Phoenix, ,+16026491374,(602) 649-1374,,https://georgebrazilhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,georgebrazilhvac.com,Yes,4129,4.8,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.421799899999996,Lng -112.0232358,"33.421799899999996,-112.0232358",8559CXCG+PP6,ChIJFVd68EcOK4cRB3AntTdAeSY,https://www.google.com/maps/place/?q=place_id:ChIJFVd68EcOK4cRB3AntTdAeSY,2772317653629890567,https://www.google.com/search?kgmid=/g/11bcdhszj5,/g/11bcdhszj5,https://lh5.googleusercontent.com/p/AF1QipPSeBeHz94126XWcucL1_iCEDkH6aP0c5LDZLPE,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://georgebrazilhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website&size=48","https://search.google.com/local/reviews?placeid=ChIJFVd68EcOK4cRB3AntTdAeSY&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/GeorgeBrazilPhoenix, ,https://twitter.com/georgebrazilphx,https://www.youtube.com/channel/UCg1-IbdWOEMCE0BUHv0RJvw,"Experience licensed HVAC services with George Brazil Heating and Cooling in Phoenix. Reliable repairs, installations, and maintenance to keep you comfortable.",0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcIwwMoEA,Wheelchair accessible entrance,Onsite services,Repair services,https://www.instagram.com/georgebrazilhvac/,,,,LGBTQ+ friendly,,
HVAC,1st Choice Mechanical,23309 N 17th Dr STE 116  Phoenix  AZ 85027  United States,23309 N 17th Dr STE 116,Phoenix,85027,United States,Arizona,US,America/Phoenix, ,+16234711910,(623) 471-1910,,https://1stchoicemechanicalaz.com/?utm_campaign=gmb,1stchoicemechanicalaz.com,Yes,906,4.9,open,"Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Lat 33.6970023,Lng -112.0961512,"33.6970023,-112.0961512",8559MWW3+RG5,ChIJTaOiBWRdK4cRyFafGmcQLzA,https://www.google.com/maps/place/?q=place_id:ChIJTaOiBWRdK4cRyFafGmcQLzA,3472011872740267720,https://www.google.com/search?kgmid=/g/11h35pr8b1,/g/11h35pr8b1,https://lh5.googleusercontent.com/p/AF1QipNur14tGbgn8VCcyWPLsvapXY2W_JtUWk7PK0NI,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://1stchoicemechanicalaz.com/?utm_campaign=gmb&size=48","https://search.google.com/local/reviews?placeid=ChIJTaOiBWRdK4cRyFafGmcQLzA&q=HVAC+in+Phoenix,+AR&authuser=0&hl=en",https://www.facebook.com/1stChoiceMechanicalAZ/, , ,https://www.youtube.com/channel/UCc-ufnv0xOrr_lLpZNPWb5Q?view_as=subscriber,Your Heating & Cooling Experts in Phoenix & Surrounding Areas,0ahUKEwjiytnPprCOAxU0KvsDHRB0C_8Q8BcI8QMoEQ,,Onsite services | Online estimates | Language assistance,Repair services,https://www.instagram.com/1stchoicemechanicalaz/?hl=en,,Identifies as veteran-owned | Small business,,,,
